1 4 6 9 10 13 | 7
0 0 0 0 0 0 | 0
0 0 0 0 0 1 | 0
0 0 0 0 1 0 | 0
0 0 0 0 1 1 | 0
0 0 0 1 0 0 | 0
0 0 0 1 0 1 | 0
0 0 0 1 1 0 | 0
0 0 0 1 1 1 | 0
0 0 1 0 0 0 | 0
0 0 1 0 0 1 | 0
0 0 1 0 1 0 | 0
0 0 1 0 1 1 | 0
0 0 1 1 0 0 | 0
0 0 1 1 0 1 | 0
0 0 1 1 1 0 | 0
0 0 1 1 1 1 | 0
0 1 0 0 0 0 | 0
0 1 0 0 0 1 | 0
0 1 0 0 1 0 | 0
0 1 0 0 1 1 | 0
0 1 0 1 0 0 | 0
0 1 0 1 0 1 | 0
0 1 0 1 1 0 | 0
0 1 0 1 1 1 | 0
0 1 1 0 0 0 | 0
0 1 1 0 0 1 | 0
0 1 1 0 1 0 | 0
0 1 1 0 1 1 | 0
0 1 1 1 0 0 | 0
0 1 1 1 0 1 | 0
0 1 1 1 1 0 | 0
0 1 1 1 1 1 | 0
1 0 0 0 0 0 | 0
1 0 0 0 0 1 | 0
1 0 0 0 1 0 | 0
1 0 0 0 1 1 | 0
1 0 0 1 0 0 | 0
1 0 0 1 0 1 | 0
1 0 0 1 1 0 | 0
1 0 0 1 1 1 | 0
1 0 1 0 0 0 | 0
1 0 1 0 0 1 | 0
1 0 1 0 1 0 | 0
1 0 1 0 1 1 | 0
1 0 1 1 0 0 | 0
1 0 1 1 0 1 | 0
1 0 1 1 1 0 | 0
1 0 1 1 1 1 | 0
1 1 0 0 0 0 | 0
1 1 0 0 0 1 | 0
1 1 0 0 1 0 | 0
1 1 0 0 1 1 | 0
1 1 0 1 0 0 | 0
1 1 0 1 0 1 | 0
1 1 0 1 1 0 | 0
1 1 0 1 1 1 | 0
1 1 1 0 0 0 | 0
1 1 1 0 0 1 | 0
1 1 1 0 1 0 | 0
1 1 1 0 1 1 | 0
1 1 1 1 0 0 | 0
1 1 1 1 0 1 | 0
1 1 1 1 1 0 | 0
1 1 1 1 1 1 | 0
