1 4 7 12 23 24 41 | 6 13 22 27 29 34
0 0 0 0 0 0 0 | 0 0 0 0 0 0
0 0 0 0 0 0 1 | 0 0 0 0 0 0
0 0 0 0 0 1 0 | 0 0 0 0 0 0
0 0 0 0 0 1 1 | 0 0 0 0 0 0
0 0 0 0 1 0 0 | 0 0 0 0 0 0
0 0 0 0 1 0 1 | 0 0 0 0 0 0
0 0 0 0 1 1 0 | 0 0 0 0 0 0
0 0 0 0 1 1 1 | 0 0 0 0 0 0
0 0 0 1 0 0 0 | 0 0 0 0 0 0
0 0 0 1 0 0 1 | 0 0 0 0 0 0
0 0 0 1 0 1 0 | 0 0 0 0 0 0
0 0 0 1 0 1 1 | 0 0 0 0 0 0
0 0 0 1 1 0 0 | 0 0 0 0 0 0
0 0 0 1 1 0 1 | 0 0 0 0 0 0
0 0 0 1 1 1 0 | 0 0 0 0 0 0
0 0 0 1 1 1 1 | 0 0 0 0 0 0
0 0 1 0 0 0 0 | 0 0 0 0 0 0
0 0 1 0 0 0 1 | 0 0 0 0 0 0
0 0 1 0 0 1 0 | 0 0 0 0 0 0
0 0 1 0 0 1 1 | 0 0 0 0 0 0
0 0 1 0 1 0 0 | 0 0 0 0 0 0
0 0 1 0 1 0 1 | 0 0 0 0 0 0
0 0 1 0 1 1 0 | 0 0 0 0 0 0
0 0 1 0 1 1 1 | 0 0 0 0 0 0
0 0 1 1 0 0 0 | 0 0 0 0 0 0
0 0 1 1 0 0 1 | 0 0 0 0 0 0
0 0 1 1 0 1 0 | 0 0 0 0 0 0
0 0 1 1 0 1 1 | 0 0 0 0 0 0
0 0 1 1 1 0 0 | 0 0 0 0 0 0
0 0 1 1 1 0 1 | 0 0 0 0 0 0
0 0 1 1 1 1 0 | 0 0 0 0 0 0
0 0 1 1 1 1 1 | 0 0 0 0 0 0
0 1 0 0 0 0 0 | 0 0 0 0 0 0
0 1 0 0 0 0 1 | 0 0 0 0 0 0
0 1 0 0 0 1 0 | 0 0 0 0 0 0
0 1 0 0 0 1 1 | 0 0 0 0 0 0
0 1 0 0 1 0 0 | 0 0 0 0 0 0
0 1 0 0 1 0 1 | 0 0 0 0 0 0
0 1 0 0 1 1 0 | 0 0 0 0 0 0
0 1 0 0 1 1 1 | 0 0 0 0 0 0
0 1 0 1 0 0 0 | 0 0 0 0 0 0
0 1 0 1 0 0 1 | 0 0 0 0 0 0
0 1 0 1 0 1 0 | 0 0 0 0 0 0
0 1 0 1 0 1 1 | 0 0 0 0 0 0
0 1 0 1 1 0 0 | 0 0 0 0 0 0
0 1 0 1 1 0 1 | 0 0 0 0 0 0
0 1 0 1 1 1 0 | 0 0 0 0 0 0
0 1 0 1 1 1 1 | 0 0 0 0 0 0
0 1 1 0 0 0 0 | 0 0 0 0 0 0
0 1 1 0 0 0 1 | 0 0 0 0 0 0
0 1 1 0 0 1 0 | 0 0 0 0 0 0
0 1 1 0 0 1 1 | 0 0 0 0 0 0
0 1 1 0 1 0 0 | 0 0 0 0 0 0
0 1 1 0 1 0 1 | 0 0 0 0 0 0
0 1 1 0 1 1 0 | 0 0 0 0 0 0
0 1 1 0 1 1 1 | 0 0 0 0 0 0
0 1 1 1 0 0 0 | 0 0 0 0 0 0
0 1 1 1 0 0 1 | 0 0 0 0 0 0
0 1 1 1 0 1 0 | 0 0 0 0 0 0
0 1 1 1 0 1 1 | 0 0 0 0 0 0
0 1 1 1 1 0 0 | 0 0 0 0 0 0
0 1 1 1 1 0 1 | 0 0 0 0 0 0
0 1 1 1 1 1 0 | 0 0 0 0 0 0
0 1 1 1 1 1 1 | 0 0 0 0 0 0
1 0 0 0 0 0 0 | 0 0 0 0 0 0
1 0 0 0 0 0 1 | 0 0 0 0 0 0
1 0 0 0 0 1 0 | 0 0 0 0 0 0
1 0 0 0 0 1 1 | 0 0 0 0 0 0
1 0 0 0 1 0 0 | 0 0 0 0 0 0
1 0 0 0 1 0 1 | 0 0 0 0 0 0
1 0 0 0 1 1 0 | 0 0 0 0 0 0
1 0 0 0 1 1 1 | 0 0 0 0 0 0
1 0 0 1 0 0 0 | 0 0 0 0 0 0
1 0 0 1 0 0 1 | 0 0 0 0 0 0
1 0 0 1 0 1 0 | 0 0 0 0 0 0
1 0 0 1 0 1 1 | 0 0 0 0 0 0
1 0 0 1 1 0 0 | 0 0 0 0 0 0
1 0 0 1 1 0 1 | 0 0 0 0 0 0
1 0 0 1 1 1 0 | 0 0 0 0 0 0
1 0 0 1 1 1 1 | 0 0 0 0 0 0
1 0 1 0 0 0 0 | 0 0 0 0 0 0
1 0 1 0 0 0 1 | 0 0 0 0 0 0
1 0 1 0 0 1 0 | 0 0 0 0 0 0
1 0 1 0 0 1 1 | 0 0 0 0 0 0
1 0 1 0 1 0 0 | 0 0 0 0 0 0
1 0 1 0 1 0 1 | 0 0 0 0 0 0
1 0 1 0 1 1 0 | 0 0 0 0 0 0
1 0 1 0 1 1 1 | 0 0 0 0 0 0
1 0 1 1 0 0 0 | 0 0 0 0 0 0
1 0 1 1 0 0 1 | 0 0 0 0 0 0
1 0 1 1 0 1 0 | 0 0 0 0 0 0
1 0 1 1 0 1 1 | 0 0 0 0 0 0
1 0 1 1 1 0 0 | 0 0 0 0 0 0
1 0 1 1 1 0 1 | 0 0 0 0 0 0
1 0 1 1 1 1 0 | 0 0 0 0 0 0
1 0 1 1 1 1 1 | 0 0 0 0 0 0
1 1 0 0 0 0 0 | 0 0 0 0 0 0
1 1 0 0 0 0 1 | 0 0 0 0 0 0
1 1 0 0 0 1 0 | 0 0 0 0 0 0
1 1 0 0 0 1 1 | 0 0 0 0 0 0
1 1 0 0 1 0 0 | 0 0 0 0 0 0
1 1 0 0 1 0 1 | 0 0 0 0 0 0
1 1 0 0 1 1 0 | 0 0 0 0 0 0
1 1 0 0 1 1 1 | 0 0 0 0 0 0
1 1 0 1 0 0 0 | 0 0 0 0 0 0
